1165,"Cheese, mexican, queso anejo",21.44,4.63,29.98,373.0
1166,"Cheese, mexican, queso asadero",22.6,2.87,28.26,356.0
1169,"Cheese, low-sodium, cheddar or colby",24.35,1.91,32.62,398.0
1179,"Sour cream, light",3.5,7.1,10.6,136.0
1180,"Sour cream, fat free",3.1,15.6,0.0,74.0
1185,"Parmesan cheese topping, fat free",40.0,40.0,5.0,370.0
1186,"Cheese, cream, fat free",15.69,7.66,1.0,105.0
1199,"Cream, half and half, fat free",2.6,9.0,1.4,59.0
1205,"Cream substitute, flavored, liquid",0.69,35.07,13.5,251.0
1206,"Cream substitute, flavored, powdered",0.68,75.42,21.47,482.0
1208,"Cheese, provolone, reduced fat",24.7,3.5,17.6,274.0
1209,"Cheese, Mexican, blend, reduced fat",24.69,3.41,19.4,282.0
1211,"Milk, whole, 3.25% milkfat, without added vitamin A and vitamin D",3.15,4.78,3.27,61.0
1215,"Cheese product, pasteurized process, American, reduced fat, fortified with vitamin D",17.6,10.6,14.1,240.0
1223,"Protein supplement, milk based, Muscle Milk, powder",45.71,18.5,17.14,411.0
1224,"Protein supplement, milk based, Muscle Milk Light, powder",50.0,22.0,12.0,396.0
1225,"Dulce de Leche",6.84,55.35,7.35,315.0
1226,"Egg substitute, liquid or frozen, fat free",10.0,2.0,0.0,48.0
1228,"Cheese, fresh, queso fresco",18.09,2.98,23.82,299.0
1230,"Milk, buttermilk, fluid, whole",3.21,4.88,3.31,62.0
1237,"Ice cream, bar or stick, chocolate covered",4.1,24.5,24.1,331.0
1240,"Ice cream cone, chocolate covered, with nuts, flavors other than chocolate",5.21,34.38,21.88,354.0
1243,"Fat free ice cream, no sugar added, flavors other than chocolate",4.41,28.86,0.0,133.0
1250,"Nutritional supplement for people with diabetes, liquid",4.4,11.88,3.08,88.0
1251,"Cheese, Mexican blend",23.54,1.75,28.51,358.0
1252,"Cheese product, pasteurized process, American, vitamin D fortified",16.09,8.85,23.06,307.0
1253,"Cheese, pasteurized process, American, without added vitamin D",18.13,3.7,31.79,371.0
1256,"Yogurt, Greek, plain, nonfat (Includes foods for USDA's Food Distribution Program)",10.3,3.64,0.37,61.0
1259,"Cheese spread, American or Cheddar cheese base, reduced fat",13.41,10.71,8.88,176.0
1260,"Cheese, cheddar, reduced fat (Includes foods for USDA's Food Distribution Program)",27.35,2.67,20.41,316.0
1264,"Ice cream bar, stick or nugget, with crunch coating",2.11,37.12,25.26,358.0
1265,"Cheese, cheddar, nonfat or fat free",32.14,7.14,0.0,157.0
1266,"Cheese, Swiss, nonfat or fat free",28.4,3.4,0.0,127.0
1267,"Cheese, mexican, queso cotija",20.0,3.97,30.0,366.0
1284,"Yogurt, Greek, strawberry, lowfat",8.17,12.29,2.57,105.0
1285,"Yogurt, Greek, strawberry, nonfat",8.06,12.2,0.15,83.0
1286,"Yogurt, Greek, vanilla, nonfat",8.64,10.37,0.18,78.0
1287,"Yogurt, Greek, plain, lowfat",9.95,3.94,1.92,73.0
1289,"Kefir, lowfat, plain, LIFEWAY",3.79,4.77,1.02,43.0
1290,"Kefir, lowfat, strawberry, LIFEWAY",3.39,10.2,0.9,62.0
1292,"Milk, chocolate, fat free, with added vitamin A and vitamin D",3.39,13.46,0.0,67.0
1293,"Yogurt, Greek, plain, whole milk",9.0,3.98,5.0,97.0
1294,"Yogurt, Greek, fruit, whole milk",7.33,12.29,3.0,106.0
1297,"Yogurt, Greek, vanilla, lowfat",8.64,9.54,2.5,95.0
1302,"Light ice cream, Creamsicle",1.54,32.75,3.08,165.0
1305,"Milk, chocolate, lowfat, reduced sugar",3.43,7.68,1.04,57.0
2003,"Spices, basil, dried",22.98,47.75,4.07,233.0
2005,"Spices, caraway seed",19.77,49.9,14.59,333.0
2007,"Spices, celery seed",18.07,41.35,25.27,392.0
2009,"Spices, chili powder",13.46,49.7,14.28,282.0
2010,"Spices, cinnamon, ground",3.99,80.59,1.24,247.0
2011,"Spices, cloves, ground",5.97,65.53,13.0,274.0
2012,"Spices, coriander leaf, dried",21.93,52.1,4.78,279.0
2014,"Spices, cumin seed",17.81,44.24,22.27,375.0
2020,"Spices, garlic powder",16.55,72.73,0.73,331.0
2021,"Spices, ginger, ground",8.98,71.62,4.24,335.0
2023,"Spices, marjoram, dried",12.66,60.56,7.04,271.0
2024,"Spices, mustard seed, ground",26.08,28.09,36.24,508.0
2025,"Spices, nutmeg, ground",5.84,49.29,36.31,525.0
2026,"Spices, onion powder",10.41,79.12,1.04,341.0
2027,"Spices, oregano, dried",9.0,68.92,4.28,265.0
2028,"Spices, paprika",14.14,53.99,12.89,282.0
